prefecture,year,school
京都,2012,龍谷大平安
奈良,2012,天理
和歌山,2012,智弁和歌山
大阪,2012,大阪桐蔭
兵庫,2012,滝川二
岡山,2012,倉敷商
広島,2012,広陵
鳥取,2012,鳥取城北
島根,2012,開星
山口,2012,宇部商
香川,2012,尽誠学園
徳島,2012,鳴門
愛媛,2012,済美
高知,2012,明徳義塾
福岡,2012,九州国際大付
佐賀,2012,佐賀北
長崎,2012,長崎日大
熊本,2012,熊本工
大分,2012,明豊
宮崎,2012,宮崎工
鹿児島,2012,神村学園
沖縄,2012,浦添商
北北海道,2013,帯広大谷
南北海道,2013,北照
青森,2013,弘前学院聖愛
岩手,2013,花巻東
秋田,2013,秋田商
山形,2013,日大山形
宮城,2013,仙台育英
福島,2013,聖光学院
茨城,2013,常総学院
栃木,2013,作新学院
群馬,2013,前橋育英
埼玉,2013,浦和学院
山梨,2013,日川
千葉,2013,木更津総合
東東京,2013,修徳
西東京,2013,日大三
神奈川,2013,横浜
長野,2013,上田西
新潟,2013,日本文理
富山,2013,富山第一
石川,2013,星稜
福井,2013,福井商
静岡,2013,常葉菊川
愛知,2013,愛工大名電
岐阜,2013,大垣日大
三重,2013,三重
滋賀,2013,彦根東
京都,2013,福知山成美
奈良,2013,桜井
和歌山,2013,箕島
大阪,2013,大阪桐蔭
兵庫,2013,西脇工
岡山,2013,関西
広島,2013,瀬戸内
鳥取,2013,鳥取城北
島根,2013,石見智翠館
山口,2013,岩国商
香川,2013,丸亀
徳島,2013,鳴門
愛媛,2013,今治西
高知,2013,明徳義塾
福岡,2013,自由ケ丘
佐賀,2013,有田工
長崎,2013,長崎日大
熊本,2013,済々黌
大分,2013,大分商
宮崎,2013,延岡学園
鹿児島,2013,樟南
沖縄,2013,沖縄尚学
北北海道,2014,武修館
南北海道,2014,東海大四
青森,2014,八戸学院光星
岩手,2014,盛岡大付
秋田,2014,角館
山形,2014,山形中央
宮城,2014,利府
福島,2014,聖光学院
茨城,2014,藤代
栃木,2014,作新学院
群馬,2014,健大高崎
埼玉,2014,春日部共栄
山梨,2014,東海大甲府
千葉,2014,東海大望洋
東東京,2014,二松学舎大付
西東京,2014,日大鶴ヶ丘
神奈川,2014,東海大相模
長野,2014,佐久長聖
新潟,2014,日本文理
富山,2014,富山商
石川,2014,星稜
福井,2014,敦賀気比
静岡,2014,静岡
愛知,2014,愛工大名電
岐阜,2014,大垣日大
三重,2014,三重
滋賀,2014,近江
京都,2014,龍谷大平安
奈良,2014,天理
和歌山,2014,市和歌山
大阪,2014,大阪桐蔭
兵庫,2014,神戸国際大付
岡山,2014,関西
広島,2014,広陵
鳥取,2014,八頭
島根,2014,開星
山口,2014,岩国
香川,2014,坂出商
徳島,2014,鳴門
愛媛,2014,小松
高知,2014,明徳義塾
福岡,2014,九州国際大付
佐賀,2014,佐賀北
長崎,2014,海星
熊本,2014,城北
大分,2014,大分
宮崎,2014,日南学園
鹿児島,2014,鹿児島実
沖縄,2014,沖縄尚学
北北海道,2015,白樺学園
南北海道,2015,北海
青森,2015,八戸学院光星
岩手,2015,花巻東
秋田,2015,秋田商
山形,2015,鶴岡東
宮城,2015,仙台育英
福島,2015,聖光学院
茨城,2015,霞ヶ浦
栃木,2015,作新学院
群馬,2015,健大高崎
埼玉,2015,花咲徳栄
山梨,2015,東海大甲府
千葉,2015,専大松戸
東東京,2015,関東一
西東京,2015,早稲田実
神奈川,2015,東海大相模
長野,2015,上田西
新潟,2015,中越
富山,2015,高岡商
石川,2015,遊学館
福井,2015,敦賀気比
静岡,2015,静岡
愛知,2015,中京大中京
岐阜,2015,岐阜城北
三重,2015,津商
滋賀,2015,比叡山
京都,2015,鳥羽
奈良,2015,天理
和歌山,2015,智弁和歌山
大阪,2015,大阪偕星学園
兵庫,2015,滝川二
岡山,2015,岡山学芸館
広島,2015,広島新庄
鳥取,2015,鳥取城北
島根,2015,石見智翠館
山口,2015,下関商
香川,2015,寒川
徳島,2015,鳴門
愛媛,2015,今治西
高知,2015,明徳義塾
福岡,2015,九州国際大付
佐賀,2015,龍谷
長崎,2015,創成館
熊本,2015,九州学院
大分,2015,明豊
宮崎,2015,宮崎日大
鹿児島,2015,鹿児島実
沖縄,2015,興南
北北海道,2016,クラーク国際
南北海道,2016,北海
青森,2016,八戸学院光星
岩手,2016,盛岡大付
秋田,2016,大曲工
山形,2016,鶴岡東
宮城,2016,東北
福島,2016,聖光学院
茨城,2016,常総学院
栃木,2016,作新学院
群馬,2016,前橋育英
埼玉,2016,花咲徳栄
山梨,2016,山梨学院
千葉,2016,木更津総合
東東京,2016,関東一
西東京,2016,八王子
神奈川,2016,横浜
長野,2016,佐久長聖
新潟,2016,中越
富山,2016,富山第一
石川,2016,星稜
福井,2016,北陸
静岡,2016,常葉菊川
愛知,2016,東邦
岐阜,2016,中京
三重,2016,いなべ総合
滋賀,2016,近江
京都,2016,京都翔英
奈良,2016,智弁学園
和歌山,2016,市和歌山
大阪,2016,履正社
兵庫,2016,市尼崎
岡山,2016,創志学園
広島,2016,広島新庄
鳥取,2016,鳥取城北
島根,2016,石見智翠館
山口,2016,高川学園
香川,2016,尽誠学園
徳島,2016,鳴門
愛媛,2016,松山聖陵
高知,2016,明徳義塾
福岡,2016,九州国際大付
佐賀,2016,唐津商
長崎,2016,長崎商
熊本,2016,秀岳館
大分,2016,大分
宮崎,2016,日南学園
鹿児島,2016,樟南
沖縄,2016,嘉手納
北北海道,2017,滝川西
南北海道,2017,北海
青森,2017,青森山田
岩手,2017,盛岡大付
秋田,2017,明桜
山形,2017,日大山形
宮城,2017,仙台育英
福島,2017,聖光学院
茨城,2017,土浦日大
栃木,2017,作新学院
群馬,2017,前橋育英
埼玉,2017,花咲徳栄
山梨,2017,山梨学院
千葉,2017,木更津総合
東東京,2017,二松学舎大付
西東京,2017,東海大菅生
神奈川,2017,横浜
長野,2017,松商学園
新潟,2017,日本文理
富山,2017,高岡商
石川,2017,日本航空石川
福井,2017,坂井
静岡,2017,藤枝明誠
愛知,2017,中京大中京
岐阜,2017,大垣日大
三重,2017,津田学園
滋賀,2017,彦根東
京都,2017,京都成章
奈良,2017,天理
和歌山,2017,智弁和歌山
大阪,2017,大阪桐蔭
兵庫,2017,神戸国際大付
岡山,2017,おかやま山陽
広島,2017,広陵
鳥取,2017,米子松蔭
島根,2017,開星
山口,2017,宇部鴻城
香川,2017,三本松
徳島,2017,鳴門渦潮
愛媛,2017,済美
高知,2017,明徳義塾
福岡,2017,東筑
佐賀,2017,早稲田佐賀
長崎,2017,波佐見
熊本,2017,秀岳館
大分,2017,明豊
宮崎,2017,聖心ウルスラ学園
鹿児島,2017,神村学園
沖縄,2017,興南
北北海道,2018,旭川大高
南北海道,2018,北照
青森,2018,八戸学院光星
岩手,2018,花巻東
秋田,2018,金足農
山形,2018,羽黒
宮城,2018,仙台育英
福島,2018,聖光学院
茨城,2018,土浦日大
栃木,2018,作新学院
群馬,2018,前橋育英
埼玉,2018,花咲徳栄
埼玉,2018,浦和学院
千葉,2018,木更津総合
千葉,2018,中央学院
東東京,2018,二松学舎大付
西東京,2018,日大三
神奈川,2018,慶應
神奈川,2018,横浜
長野,2018,佐久長聖
新潟,2018,中越
富山,2018,高岡商
石川,2018,星稜
福井,2018,敦賀気比
静岡,2018,常葉大菊川
愛知,2018,愛産大三河
愛知,2018,愛工大名電
岐阜,2018,大垣日大
三重,2018,白山
滋賀,2018,近江
京都,2018,龍谷大平安
奈良,2018,奈良大付
和歌山,2018,智弁和歌山
大阪,2018,大阪桐蔭
大阪,2018,近大付
兵庫,2018,報徳学園
兵庫,2018,明石商
岡山,2018,創志学園
広島,2018,広陵
鳥取,2018,鳥取城北
島根,2018,益田東
山口,2018,下関国際
香川,2018,丸亀城西
徳島,2018,鳴門
愛媛,2018,済美
高知,2018,高知商
福岡,2018,折尾愛真
佐賀,2018,佐賀商
長崎,2018,創成館
熊本,2018,東海大熊本星翔
大分,2018,藤蔭
宮崎,2018,日南学園
鹿児島,2018,鹿児島実
沖縄,2018,興南
北北海道,2019,旭川大高
南北海道,2019,北照
青森,2019,八戸学院光星
岩手,2019,花巻東
秋田,2019,秋田中央
山形,2019,鶴岡東
宮城,2019,仙台育英
福島,2019,聖光学院
茨城,2019,霞ヶ浦
栃木,2019,作新学院
群馬,2019,前橋育英
埼玉,2019,花咲徳栄
山梨,2019,山梨学院
千葉,2019,習志野
東東京,2019,関東一
西東京,2019,國學院久我山
神奈川,2019,東海大相模
長野,2019,飯山
新潟,2019,日本文理
富山,2019,高岡商
石川,2019,星稜
福井,2019,敦賀気比
静岡,2019,静岡
愛知,2019,誉
岐阜,2019,中京学院大中京
三重,2019,津田学園
滋賀,2019,近江
京都,2019,京都国際
奈良,2019,智弁学園
和歌山,2019,智弁和歌山
大阪,2019,履正社
兵庫,2019,明石商
岡山,2019,岡山学芸館
広島,2019,広島商
鳥取,2019,鳥取城北
島根,2019,石見智翠館
山口,2019,宇部鴻城
香川,2019,高松商
徳島,2019,鳴門
愛媛,2019,宇和島東
高知,2019,明徳義塾
福岡,2019,筑陽学園
佐賀,2019,佐賀北
長崎,2019,海星
熊本,2019,熊本工
大分,2019,大分
宮崎,2019,日章学園
鹿児島,2019,神村学園
沖縄,2019,沖縄尚学
北北海道,2021,帯広農
南北海道,2021,北海
青森,2021,弘前学院聖愛
岩手,2021,盛岡大付
秋田,2021,明桜
山形,2021,日大山形
宮城,2021,東北学院
福島,2021,日大東北
茨城,2021,鹿島学園
栃木,2021,作新学院
群馬,2021,前橋育英
埼玉,2021,浦和学院
山梨,2021,日本航空
千葉,2021,専大松戸
東東京,2021,二松学舎大付
西東京,2021,東海大菅生
神奈川,2021,横浜
長野,2021,松商学園
新潟,2021,日本文理
富山,2021,高岡商
石川,2021,小松大谷
福井,2021,敦賀気比
静岡,2021,静岡
愛知,2021,愛工大名電
岐阜,2021,県岐阜商
三重,2021,三重
滋賀,2021,近江
京都,2021,京都国際
奈良,2021,智弁学園
和歌山,2021,智弁和歌山
大阪,2021,大阪桐蔭
兵庫,2021,神戸国際大付
岡山,2021,倉敷商
広島,2021,広島新庄
鳥取,2021,米子東
島根,2021,石見智翠館
山口,2021,高川学園
香川,2021,高松商
徳島,2021,阿南光
愛媛,2021,新田
高知,2021,明徳義塾
福岡,2021,西日本短大付
佐賀,2021,東明館
長崎,2021,長崎商
熊本,2021,熊本工
大分,2021,明豊
宮崎,2021,宮崎商
鹿児島,2021,樟南
沖縄,2021,沖縄尚学
北北海道,2022,旭川大高
南北海道,2022,札幌大谷
青森,2022,八戸学院光星
岩手,2022,一関学院
秋田,2022,能代松陽
山形,2022,鶴岡東
宮城,2022,仙台育英
福島,2022,聖光学院
茨城,2022,明秀日立
栃木,2022,国学院栃木
群馬,2022,樹徳
埼玉,2022,聖望学園
山梨,2022,山梨学院
千葉,2022,市船橋
東東京,2022,二松学舎大付
西東京,2022,日大三
神奈川,2022,横浜
長野,2022,佐久長聖
新潟,2022,日本文理
富山,2022,高岡商
石川,2022,星稜
福井,2022,敦賀気比
静岡,2022,日大三島
愛知,2022,愛工大名電
岐阜,2022,県岐阜商
三重,2022,三重
滋賀,2022,近江
京都,2022,京都国際
奈良,2022,天理
和歌山,2022,智弁和歌山
大阪,2022,大阪桐蔭
兵庫,2022,社
岡山,2022,創志学園
広島,2022,盈進
鳥取,2022,鳥取商
島根,2022,浜田
山口,2022,下関国際
香川,2022,高松商
徳島,2022,鳴門
愛媛,2022,帝京第五
高知,2022,明徳義塾
福岡,2022,九州国際大付
佐賀,2022,有田工
長崎,2022,海星
熊本,2022,九州学院
大分,2022,明豊
宮崎,2022,富島
鹿児島,2022,鹿児島実
沖縄,2022,興南
北北海道,2023,クラーク国際
南北海道,2023,北海
青森,2023,八戸学院光星
岩手,2023,花巻東
秋田,2023,明桜
山形,2023,日大山形
宮城,2023,仙台育英
福島,2023,聖光学院
茨城,2023,土浦日大
栃木,2023,文星芸大付
群馬,2023,前橋商
埼玉,2023,花咲徳栄
山梨,2023,東海大甲府
千葉,2023,専大松戸
東東京,2023,共栄学園
西東京,2023,日大三
神奈川,2023,慶應
長野,2023,上田西
新潟,2023,中越
富山,2023,高岡商
石川,2023,星稜
福井,2023,北陸
静岡,2023,浜松開誠館
愛知,2023,愛工大名電
岐阜,2023,大垣日大
三重,2023,いなべ総合
滋賀,2023,近江
京都,2023,立命館宇治
奈良,2023,智弁学園
和歌山,2023,智弁和歌山
大阪,2023,履正社
兵庫,2023,社
岡山,2023,創志学園
広島,2023,広陵
鳥取,2023,鳥取商
島根,2023,立正大淞南
山口,2023,宇部鴻城
香川,2023,英明
徳島,2023,鳴門
愛媛,2023,川之江
高知,2023,高知中央
福岡,2023,九州国際大付
佐賀,2023,鳥栖工
長崎,2023,創成館
熊本,2023,東海大熊本星翔
大分,2023,明豊
宮崎,2023,宮崎学園
鹿児島,2023,神村学園
沖縄,2023,沖縄尚学
北北海道,2024,白樺学園
南北海道,2024,北海
青森,2024,青森山田
岩手,2024,花巻東
秋田,2024,明桜
山形,2024,鶴岡東
宮城,2024,仙台育英
福島,2024,聖光学院
茨城,2024,霞ヶ浦
栃木,2024,作新学院
群馬,2024,健大高崎
埼玉,2024,花咲徳栄
山梨,2024,山梨学院
千葉,2024,中央学院
東東京,2024,関東一
西東京,2024,日大三
神奈川,2024,横浜
長野,2024,上田西
新潟,2024,日本文理
富山,2024,高岡商
石川,2024,星稜
福井,2024,敦賀気比
静岡,2024,浜松開誠館
愛知,2024,愛工大名電
岐阜,2024,大垣日大
三重,2024,いなべ総合
滋賀,2024,近江
京都,2024,京都国際
奈良,2024,智弁学園
和歌山,2024,智弁和歌山
大阪,2024,大阪桐蔭
兵庫,2024,報徳学園
岡山,2024,創志学園
広島,2024,広陵
鳥取,2024,鳥取城北
島根,2024,立正大淞南
山口,2024,宇部鴻城
香川,2024,英明
徳島,2024,鳴門
愛媛,2024,川之江
高知,2024,明徳義塾
福岡,2024,九州国際大付
佐賀,2024,鳥栖工
長崎,2024,創成館
熊本,2024,東海大熊本星翔
大分,2024,明豊
宮崎,2024,宮崎学園
鹿児島,2024,神村学園
沖縄,2024,沖縄尚学
北北海道,2025,旭川志峯
南北海道,2025,北海
青森,2025,弘前学院聖愛
岩手,2025,花巻東
秋田,2025,金足農
山形,2025,日大山形
宮城,2025,仙台育英
福島,2025,聖光学院
茨城,2025,明秀日立
栃木,2025,青藍泰斗
群馬,2025,健大高崎
埼玉,2025,叡明
山梨,2025,山梨学院
千葉,2025,市船橋
東東京,2025,関東第一
西東京,2025,日大三
神奈川,2025,横浜
長野,2025,松商学園
新潟,2025,中越
富山,2025,未来富山
石川,2025,小松大谷
福井,2025,敦賀気比
静岡,2025,聖隷クリストファー
愛知,2025,豊橋中央
岐阜,2025,県岐阜商
三重,2025,津田学園
滋賀,2025,綾羽
京都,2025,京都国際
奈良,2025,天理
和歌山,2025,智弁和歌山
大阪,2025,東大阪大柏原
兵庫,2025,東洋大姫路
岡山,2025,岡山学芸館
広島,2025,広陵
鳥取,2025,鳥取城北
島根,2025,石見智翠館
山口,2025,高川学園
香川,2025,尽誠学園
徳島,2025,鳴門
愛媛,2025,今治西
高知,2025,高知中央
福岡,2025,西日本短大付
佐賀,2025,佐賀北
長崎,2025,創成館
熊本,2025,熊本工
大分,2025,明豊
宮崎,2025,宮崎商
鹿児島,2025,神村学園
沖縄,2025,沖縄尚学
